Source =====>/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/create-react-app/packages/babel-plugin-named-asset-import/index.js replaceMatchingSpecifiers 66 8 195
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/create-react-app/packages/create-react-app/createReactApp.js nan 933 37 1648 =======> 0.778905689716
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/create-react-app/packages/create-react-app/createReactApp.js nan 938 12 1658 =======> 0.479214847088
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/create-react-app/packages/create-react-app/createReactApp.js nan 940 12 1661 =======> 0.471573919058
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/create-react-app/packages/create-react-app/createReactApp.js nan 942 12 1664 =======> 0.487842231989
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/create-react-app/packages/create-react-app/createReactApp.js nan 970 31 1708 =======> 0.273996680975
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/create-react-app/packages/create-react-app/createReactApp.js getProxy 978 0 1714 =======> 0.349388897419
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/create-react-app/packages/create-react-app/createReactApp.js checkThatNpmCanReadCwd 993 0 1729 =======> 0.371402621269
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/create-react-app/packages/create-react-app/createReactApp.js nan 1017 26 1754 =======> 0.746129512787
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/create-react-app/packages/create-react-app/createReactApp.js checkIfOnline 1054 0 1800 =======> 0.137131467462
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/create-react-app/packages/create-react-app/createReactApp.js nan 1061 21 1807 =======> 0.591815531254
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/create-react-app/packages/create-react-app/createReactApp.js nan 1062 39 1810 =======> 0.513566553593
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/create-react-app/packages/create-react-app/createReactApp.js nan 1067 46 1818 =======> 0.637280881405
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/create-react-app/packages/create-react-app/createReactApp.js executeNodeScript 1077 0 1822 =======> 0.502259492874
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/create-react-app/packages/create-react-app/createReactApp.js nan 1078 21 1828 =======> 0.567260384560
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/create-react-app/packages/create-react-app/createReactApp.js nan 1085 22 1837 =======> 0.520163238049
