Source =====>/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/mysql/benchmark/parse-100k-blog-rows.js createPacketBuffer 27 4 183
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/mysql/lib/protocol/sequences/Query.js nan 115 31 6396 =======> 0.562903404236
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/mysql/lib/protocol/sequences/Query.js nan 136 43 6409 =======> 0.518392145634
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/mysql/lib/protocol/sequences/Query.js nan 152 35 6419 =======> 0.123429611325
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/mysql/lib/protocol/sequences/Query.js nan 162 37 6426 =======> 0.431735277176
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/mysql/lib/protocol/sequences/Query.js nan 170 19 6440 =======> 0.608292162418
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/mysql/lib/protocol/sequences/Query.js nan 174 20 6444 =======> 0.597043097019
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/mysql/lib/protocol/sequences/Query.js nan 178 25 6448 =======> 0.678351342678
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/mysql/lib/protocol/sequences/Query.js nan 182 26 6454 =======> 0.474756270647
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/mysql/lib/protocol/sequences/Query.js nan 187 24 6457 =======> 0.641505897045
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/mysql/lib/protocol/sequences/Query.js nan 192 25 6461 =======> 0.456869572401
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/mysql/lib/protocol/sequences/Query.js nan 200 17 6468 =======> 0.379885345697
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/mysql/lib/protocol/sequences/Query.js nan 204 21 6472 =======> 0.474545180798
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/mysql/lib/protocol/sequences/Query.js nan 205 21 6476 =======> 0.657580971718
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/mysql/lib/protocol/sequences/Query.js nan 210 20 6479 =======> 0.485676020384
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/mysql/lib/protocol/sequences/Query.js nan 215 19 6488 =======> 0.419353991747
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/mysql/lib/protocol/sequences/Query.js nan 219 17 6491 =======> 0.634139776230
