Source =====>/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/mocha/browser-entry.js highlightTags 194 6 294
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/mocha/lib/errors.js createMochaInstanceAlreadyDisposedError 372 0 2684 =======> 0.000000365182
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/mocha/lib/errors.js createMochaInstanceAlreadyRunningError 390 0 2691 =======> 0.000000656706
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/mocha/lib/errors.js createMultipleDoneError 406 0 2696 =======> 0.000000037808
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/mocha/lib/errors.js createForbiddenExclusivityError 443 0 2724 =======> 0.000075294578
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/mocha/lib/errors.js createInvalidPluginDefinitionError 461 0 2732 =======> 0.000000315601
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/mocha/lib/errors.js createInvalidPluginImplementationError 478 0 2738 =======> 0.000001558409
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/mocha/lib/errors.js createTimeoutError 497 0 2747 =======> 0.000000070483
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/mocha/lib/errors.js createUnparsableFileError 513 0 2753 =======> 0.639409840107
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/mocha/lib/errors.js nan 527 21 2761 =======> 0.000498465786
Total edge above 0.9 ===>  1


Source =====>/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/mocha/lib/cli/options.js findConfig 161 34 1766
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/mocha/lib/cli/config.js nan 38 8 1157 =======> 0.053126730025
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/mocha/lib/cli/config.js nan 39 6 1165 =======> 0.022872824222
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/mocha/lib/cli/config.js nan 52 8 1184 =======> 0.451957613230
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/mocha/lib/cli/config.js nan 66 21 1192 =======> 0.581641137600
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/mocha/lib/cli/config.js nan 94 21 1216 =======> 0.000035101697
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/mocha/lib/cli/node-flags.js nan 37 21 1464 =======> 0.000000206670
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/mocha/lib/cli/node-flags.js nan 65 28 1485 =======> 0.000001269099
