/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/shelljs/src/common.js unlinkSync 293 0 888 =======> 0.816740989685
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/shelljs/src/common.js statFollowLinks 311 0 899 =======> 0.796610057354
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/shelljs/src/common.js statNoFollowLinks 316 0 904 =======> 0.981733322144
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/shelljs/src/common.js randomFileName 322 0 909 =======> 0.095376409590
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/shelljs/src/common.js randomHash 323 2 911 =======> 0.035877320915
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/shelljs/src/common.js wrap 340 0 933 =======> 0.883602619171
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/shelljs/src/common.js nan 342 9 938 =======> 0.023731537163
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/shelljs/src/common.js nan 374 27 966 =======> 0.023583542556
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/shelljs/src/common.js nan 383 24 977 =======> 0.013940797187
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/shelljs/src/common.js nan 392 24 989 =======> 0.011845359579
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/shelljs/src/common.js _readFromPipe 444 0 1026 =======> 0.946870088577
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/shelljs/src/common.js _register 464 0 1037 =======> 0.019285747781
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/shelljs/src/common.js nan 468 35 1044 =======> 0.000010455964
Total edge above 0.9 ===>  0


Source =====>/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/shelljs/src/common.js isObject 181 34 783
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/shelljs/src/common.js nan 32 9 660 =======> 0.000359042489
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/shelljs/src/common.js nan 38 19 665 =======> 0.000237937958
