Source =====>/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/q/benchmark/compare-with-callbacks.js nfcall 31 8 62
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/q/q.js _return 1367 0 1878 =======> 0.007126518060
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/q/q.js promised 1387 0 1882 =======> 0.787976980209
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/q/q.js nan 1388 11 1884 =======> 0.116158552468
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/q/q.js nan 1389 46 1889 =======> 0.718906641006
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/q/q.js dispatch 1403 0 1892 =======> 0.185849562287
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/q/q.js nan 1407 29 1896 =======> 0.110035873950
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/q/q.js nan 1410 15 1901 =======> 0.605550110340
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/q/q.js nan 1422 8 1905 =======> 0.008719009347
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/q/q.js nan 1426 24 1910 =======> 0.002608560491
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/q/q.js nan 1437 8 1915 =======> 0.023133693263
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/q/q.js nan 1441 24 1920 =======> 0.011565805413
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/q/q.js nan 1452 14 1925 =======> 0.008719009347
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/q/q.js nan 1457 30 1930 =======> 0.002608560491
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/q/q.js nan 1475 9 1936 =======> 0.043154813349
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/q/q.js nan 1480 25 1941 =======> 0.044505670667
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/q/q.js nan 1493 11 1948 =======> 0.034960813820
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/q/q.js nan 1499 27 1954 =======> 0.009899675846
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/q/q.js nan 1508 11 1960 =======> 0.032092411071
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/q/q.js nan 1512 27 1966 =======> 0.046019319445
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/q/q.js nan 1522 10 1971 =======> 0.692564666271
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/q/q.js nan 1526 26 1978 =======> 0.016870852560
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/q/q.js nan 1536 10 1985 =======> 0.731183350086
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/q/q.js fbound 1539 11 1991 =======> 0.753722786903
