Source =====>/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/socket.io/client-dist/socket.io.js _setPrototypeOf 71 20 3039
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/socket.io/client-dist/socket.io.js _loop 1740 20 4731 =======> 0.321849524975
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/socket.io/client-dist/socket.io.js nan 1743 43 4736 =======> 0.062688656151
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/socket.io/client-dist/socket.io.js nan 1745 23 4739 =======> 0.268633633852
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/socket.io/client-dist/socket.io.js doClose 1758 13 4746 =======> 0.018393728882
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/socket.io/client-dist/socket.io.js parse 1793 2 4763 =======> 0.841231405735
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/socket.io/client-dist/socket.io.js pathNames 1816 2 4801 =======> 0.022228563204
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/socket.io/client-dist/socket.io.js queryKey 1827 2 4815 =======> 0.473511844873
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/socket.io/client-dist/socket.io.js nan 1829 47 4819 =======> 0.623374581337
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/socket.io/client-dist/socket.io.js nan 1837 30 4828 =======> 0.086941771209
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/socket.io/client-dist/socket.io.js Socket 1846 4 4833 =======> 0.956973075867
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/socket.io/client-dist/socket.io.js nan 1908 44 4890 =======> 0.227985158563
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/socket.io/client-dist/socket.io.js nan 1918 39 4897 =======> 0.323689013720
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/socket.io/client-dist/socket.io.js createTransport 1938 13 4906 =======> 0.006493334193
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/socket.io/client-dist/socket.io.js open 1962 13 4920 =======> 0.027856087312
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/socket.io/client-dist/socket.io.js nan 1969 28 4929 =======> 0.002481567208
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/socket.io/client-dist/socket.io.js setTransport 1995 13 4942 =======> 0.012302448973
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/socket.io/client-dist/socket.io.js nan 2003 143 4954 =======> 0.570556998253
