/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/minimist/test/bool.js nan 6 35 508 =======> 0.000013245782
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/minimist/test/bool.js nan 24 23 532 =======> 0.000011310501
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/minimist/test/bool.js nan 42 44 552 =======> 0.000396665389
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/minimist/test/bool.js nan 61 50 581 =======> 0.000534864375
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/minimist/test/bool.js nan 84 46 609 =======> 0.000399530632
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/minimist/test/bool.js nan 105 29 628 =======> 0.000081044498
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/minimist/test/bool.js nan 122 29 645 =======> 0.000041863728
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/minimist/test/bool.js nan 134 30 655 =======> 0.000041863685
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/minimist/test/bool.js nan 146 48 665 =======> 0.000124051832
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/minimist/test/bool.js nan 158 49 678 =======> 0.000027263319
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/minimist/test/bool.js nan 173 40 693 =======> 0.000041908184
Total edge above 0.9 ===>  2


Source =====>/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/minimist/test/dotted.js parse 21 12 888
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/minimist/index.js hasKey 3 0 13 =======> 0.091052085161
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/minimist/index.js nan 5 27 24 =======> 0.115287065506
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/minimist/index.js isNumber 13 0 30 =======> 0.171409890056
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/minimist/index.js isConstructorOrProto 19 0 42 =======> 0.503749907017
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/minimist/index.js nan 23 17 48 =======> 0.999055683613
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/minimist/index.js nan 39 50 76 =======> 0.086444653571
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/minimist/index.js isBooleanKey 46 1 80 =======> 0.334390550852
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/minimist/index.js nan 53 27 90 =======> 0.569730877876
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/minimist/index.js nan 58 39 97 =======> 0.412556618452
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/minimist/index.js nan 60 23 101 =======> 0.490163266659
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/minimist/index.js nan 61 49 105 =======> 0.371683359146
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/minimist/index.js nan 67 48 113 =======> 0.121001303196
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/minimist/index.js nan 70 35 118 =======> 0.125145137310
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/minimist/index.js argDefined 80 1 129 =======> 0.217355325818
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/minimist/index.js setKey 87 1 134 =======> 0.142370581627
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/minimist/index.js setArg 123 1 175 =======> 0.839886307716
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/minimist/index.js nan 133 31 194 =======> 0.484845727682
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/minimist/index.js nan 139 34 199 =======> 0.179309293628
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/minimist/index.js nan 143 52 204 =======> 0.221057116985
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/minimist/index.js nan 252 31 318 =======> 0.068632744253
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/minimist/index.js nan 256 30 327 =======> 0.540189445019
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/minimist/index.js nan 265 19 333 =======> 0.553860306740
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/minimist/test/dotted.js nan 6 21 855 =======> 0.001237659715
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/minimist/test/dotted.js nan 13 23 876 =======> 0.001219577854
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/minimist/test/dotted.js nan 20 37 886 =======> 0.001405423158
Total edge above 0.9 ===>  3


Source =====>/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/minimist/test/long.js parse 28 2 983
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/minimist/index.js hasKey 3 0 13 =======> 0.034275341779
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/minimist/index.js nan 5 27 24 =======> 0.004404271953
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/minimist/index.js isNumber 13 0 30 =======> 0.039739795029
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/minimist/index.js isConstructorOrProto 19 0 42 =======> 0.263300478458
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/minimist/index.js nan 23 17 48 =======> 0.952054440975
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/minimist/index.js nan 39 50 76 =======> 0.008084704168
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/minimist/index.js isBooleanKey 46 1 80 =======> 0.120596654713
